Unnamed: 0,filename,latitude,longitude,in_bw,in_ostalbkreis
0,2019-01-01_bme280_sensor_10002.csv,42.67,23.268,False,False
0,2019-01-01_bme280_sensor_10004.csv,42.655,23.38300000000001,False,False
0,2019-01-01_bme280_sensor_10006.csv,42.62600000000001,23.381,False,False
0,2019-01-01_bme280_sensor_10008.csv,41.766999999999996,26.204,False,False
0,2019-01-01_bme280_sensor_10014.csv,20.595,-100.397,False,False
0,2019-01-01_bme280_sensor_10034.csv,51.394,6.8,False,False
0,2019-01-01_bme280_sensor_10047.csv,50.878,4.7410000000000005,False,False
0,2019-01-01_bme280_sensor_10060.csv,49.305,8.635,True,False
0,2019-01-01_bme280_sensor_10064.csv,52.358999999999995,13.135,False,False
0,2019-01-01_bme280_sensor_10066.csv,48.735,9.336,True,False
0,2019-01-01_bme280_sensor_10071.csv,53.72,10.013,False,False
0,2019-01-01_bme280_sensor_10075.csv,42.68,23.287,False,False
0,2019-01-01_bme280_sensor_10077.csv,42.619,23.36,False,False
0,2019-01-01_bme280_sensor_10079.csv,42.543,22.967,False,False
0,2019-01-01_bme280_sensor_10081.csv,42.663999999999994,23.529,False,False
0,2019-01-01_bme280_sensor_10093.csv,48.092,11.485,False,False
0,2019-01-01_bme280_sensor_10097.csv,42.662,23.465,False,False
0,2019-01-01_bme280_sensor_10099.csv,42.65600000000001,23.374000000000002,False,False
0,2019-01-01_bme280_sensor_10115.csv,43.26,27.811999999999998,False,False
0,2019-01-01_bme280_sensor_10127.csv,42.608000000000004,23.362,False,False
0,2019-01-01_bme280_sensor_10145.csv,41.821999999999996,23.563000000000002,False,False
0,2019-01-01_bme280_sensor_10147.csv,41.832,23.487,False,False
0,2019-01-01_bme280_sensor_10159.csv,42.698,23.228,False,False
0,2019-01-01_bme280_sensor_10161.csv,41.768,26.206,False,False
0,2019-01-01_bme280_sensor_1019.csv,42.643,23.409000000000002,False,False
0,2019-01-01_bme280_sensor_10202.csv,42.583999999999996,23.164,False,False
0,2019-01-01_bme280_sensor_10208.csv,52.733000000000004,8.503,False,False
0,2019-01-01_bme280_sensor_10211.csv,42.864,12.014000000000001,False,False
0,2019-01-01_bme280_sensor_10261.csv,42.607,23.389,False,False
0,2019-01-01_bme280_sensor_10292.csv,48.519,9.066,True,False
0,2019-01-01_bme280_sensor_10310.csv,43.236000000000004,27.985,False,False
0,2019-01-01_bme280_sensor_10329.csv,54.65600000000001,9.373,False,False
0,2019-01-01_bme280_sensor_10332.csv,54.835,9.548,False,False
0,2019-01-01_bme280_sensor_10342.csv,54.602,18.355999999999998,False,False
0,2019-01-01_bme280_sensor_10348.csv,43.192,23.283,False,False
0,2019-01-01_bme280_sensor_10350.csv,42.65600000000001,23.389,False,False
0,2019-01-01_bme280_sensor_10366.csv,41.82100000000001,23.489,False,False
0,2019-01-01_bme280_sensor_10413.csv,42.602,23.386,False,False
0,2019-01-01_bme280_sensor_10460.csv,50.727,7.079,False,False
0,2019-01-01_bme280_sensor_10462.csv,42.65600000000001,23.373,False,False
0,2019-01-01_bme280_sensor_10464.csv,42.048,24.639,False,False
0,2019-01-01_bme280_sensor_10466.csv,42.6,23.555999999999997,False,False
0,2019-01-01_bme280_sensor_10474.csv,50.44600000000001,7.904,False,False
0,2019-01-01_bme280_sensor_10478.csv,48.78,9.212,True,False
0,2019-01-01_bme280_sensor_10480.csv,42.608999999999995,23.04,False,False
0,2019-01-01_bme280_sensor_10482.csv,42.333999999999996,23.875999999999998,False,False
0,2019-01-01_bme280_sensor_10518.csv,42.549,22.968000000000004,False,False
0,2019-01-01_bme280_sensor_10539.csv,49.049,8.469,True,False
0,2019-01-01_bme280_sensor_10547.csv,48.778,9.16,True,False
0,2019-01-01_bme280_sensor_10549.csv,48.733999999999995,9.152999999999999,True,False
0,2019-01-01_bme280_sensor_10568.csv,48.75899999999999,9.154,True,False
0,2019-01-01_bme280_sensor_10579.csv,50.858999999999995,12.073,False,False
0,2019-01-01_bme280_sensor_10587.csv,47.606,7.577000000000001,False,False
0,2019-01-01_bme280_sensor_10604.csv,41.555,23.274,False,False
0,2019-01-01_bme280_sensor_10606.csv,42.698,23.148000000000003,False,False
0,2019-01-01_bme280_sensor_10608.csv,42.653,23.368000000000002,False,False
0,2019-01-01_bme280_sensor_10610.csv,41.58,23.289,False,False
0,2019-01-01_bme280_sensor_10612.csv,42.618,23.70300000000001,False,False
0,2019-01-01_bme280_sensor_10616.csv,42.683,23.288,False,False
0,2019-01-01_bme280_sensor_10618.csv,43.527,26.534000000000002,False,False
0,2019-01-01_bme280_sensor_10636.csv,47.898999999999994,11.447000000000001,False,False
0,2019-01-01_bme280_sensor_10638.csv,49.25100000000001,8.905,True,False
0,2019-01-01_bme280_sensor_10650.csv,42.519,27.371,False,False
0,2019-01-01_bme280_sensor_10652.csv,42.742,23.266,False,False
0,2019-01-01_bme280_sensor_10658.csv,43.276,26.929000000000002,False,False
0,2019-01-01_bme280_sensor_10668.csv,42.136,24.796999999999997,False,False
0,2019-01-01_bme280_sensor_10688.csv,42.688,23.299,False,False
0,2019-01-01_bme280_sensor_10690.csv,27.221,78.01,False,False
0,2019-01-01_bme280_sensor_10700.csv,41.985,21.451,False,False
0,2019-01-01_bme280_sensor_10706.csv,42.655,23.336,False,False
0,2019-01-01_bme280_sensor_10712.csv,51.235,6.803999999999999,False,False
0,2019-01-01_bme280_sensor_10716.csv,42.62,23.315,False,False
0,2019-01-01_bme280_sensor_10718.csv,42.695,23.121,False,False
